"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"pgaptmp_000212",1098.65644594075,0.22571735905173,0.199320608652587,1.13243362328455,0.257452175672271,0.357417753768068
"pgaptmp_000213",2042.91068198414,-0.233166802678575,0.158480631405755,-1.47126371601588,0.141219811832821,0.216623976639868
"pbp4b",1643.63714143077,-0.12541921326587,0.134930796393574,-0.929507692966101,0.352626040269139,0.458426169012132
"pgaptmp_000215",1550.26268471837,0.657339414864693,0.159926209515167,4.11026695910249,3.95201951654463e-05,0.000135695725466597
"murQ",3508.02037866588,1.2088238714194,0.102946865273451,11.7422115594145,7.7434677383261e-32,4.2384098414779e-30
"pgaptmp_000217",360.538363093206,1.06462793939587,0.207744256279235,5.12470456928,2.98004638477889e-07,1.44423602137331e-06
"pgaptmp_000218",351.842660206912,1.08304143240016,0.190350259848407,5.68972920374621,1.27240993230372e-08,7.55328511648235e-08
"sigW",185989.548795313,0.959964203153168,0.107516867008016,8.92849866134582,4.31829129034731e-19,9.39922817700158e-18
"rsiW",134210.982640948,1.09805069361839,0.102178629206153,10.7463830954611,6.16311820624488e-27,2.44033254932377e-25
"cdaA",11433.4276272712,-0.0737804255546085,0.0845475987512548,-0.872649568341686,0.382854113893421,0.489853218257584
"pgaptmp_000227",28243.1132218531,0.489706912221255,0.088598881020751,5.52723585873008,3.25315485680756e-08,1.80450706066136e-07
"glmM",16380.6724801922,0.585599768565153,0.0967321821145087,6.05382568411346,1.41445669315626e-09,9.58944956635267e-09
"glmS",98671.7592023687,1.4050542314102,0.0969371944386999,14.4944800553178,1.3129277645533e-47,1.35742142768538e-45
"pgaptmp_000230",154.618450101361,-1.81002903389019,0.321349472549511,-5.63258753633496,1.77525685771182e-08,1.02125286312263e-07
"pgaptmp_000231",243.569164952135,-0.27187242991604,0.277078243234497,-0.981211757164018,0.326488327480381,0.43076552813966
"pgaptmp_000232",1557.01796848858,0.228123152451202,0.132617498441144,1.72015876586937,0.0854035860223813,0.142415836548075
"pgaptmp_000233",14005.2818810059,-0.145435045890428,0.114423215627328,-1.27102743174169,0.203718889806745,0.296188167133087
"pgaptmp_000234",4686.42327741649,0.163155993897032,0.0929707427320869,1.75491761281501,0.0792734010417463,0.133027772171948
"pgaptmp_000235",670.164467417159,-0.863860469150186,0.193614675377489,-4.46175098796579,8.1292658428204e-06,3.11287319619111e-05
"pgaptmp_000236",297.516753823713,-1.71481594904408,0.222386246563631,-7.7109802226615,1.24855012952816e-14,1.74703142184354e-13
"pgaptmp_000237",281.435427296942,-1.14430432442591,0.260446696772862,-4.39362195260965,1.11477606440596e-05,4.17844563113692e-05
"pgaptmp_000238",4161.5274344918,-0.147305646142902,0.133563526903085,-1.1028882626751,0.270075691969462,0.37134160528642
"pgaptmp_000239",826.759745151297,0.61940520818408,0.148185132313398,4.1799416615838,2.91583889375833e-05,0.000101617531484724
"pgaptmp_000240",3129.12223175001,0.416848757473839,0.101874880594262,4.09177174041582,4.28089919133848e-05,0.000145777738244847
"pgaptmp_000241",1715.15150478834,0.603630075934633,0.132329561998818,4.56156634101174,5.07734285215294e-06,2.02549518710753e-05
"pgaptmp_000242",400.62586885705,-0.733251277570833,0.208059133570905,-3.52424459809137,0.000424692014054843,0.00121126718491351
