"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rpsC",93751.1390560171,0.346835577888701,0.07298401230994,4.7522130794317,2.01202170330526e-06,3.66197788738493e-06
"rplP",54837.4020426702,0.337022137496211,0.0788160056144934,4.2760621382497,1.90228148250624e-05,3.24933073790188e-05
"rpmC",20779.7311086088,0.351637912443158,0.0776722086287279,4.52720372770629,5.97693121339015e-06,1.05833196842237e-05
"rpsQ",47393.2367157611,0.248255845031874,0.0715715430929731,3.46863899118934,0.00052310186035435,0.000822582542832851
"rplN",41209.8086863361,0.126164595708475,0.108958673148177,1.15791237230742,0.24689979800575,0.293504007721942
"rplX",22056.4399418026,0.424475206739132,0.0933271806731592,4.54824847035383,5.40942460785649e-06,9.60127724866088e-06
"rplE",100551.272375266,-0.177402371299247,0.101150186265889,-1.75385115785074,0.0794560145183673,0.101557447128215
"rpsN",43611.4557023441,-0.105881073055414,0.0794938033692596,-1.33194121513574,0.182879506185978,0.222169551619638
"rpsH",75412.7361024346,-0.0157811174906345,0.0870115343439598,-0.181368109522712,0.856078648650178,0.883778315869832
"rplF",120111.393572466,-0.189595018440029,0.0755716496038337,-2.50881143171991,0.012113813193053,0.0169587189088882
"rplR",60989.3390391291,-0.155117900014372,0.105224034444214,-1.47416795823972,0.140436374658561,0.17406066815823
"rpsE",96913.9011763656,-0.137042647959873,0.0970501355851121,-1.41208095314496,0.157926126303118,0.194250179147458
"rpmD",41829.3529927351,-0.0448867828077072,0.0879503471522806,-0.510365044153703,0.609795741600756,0.657872391373337
"rplO",136302.42989653,-0.325275285345717,0.0790380411345659,-4.11542695993593,3.86463365925064e-05,6.4998492904342e-05
"secY",268772.860907698,-1.10359533191443,0.097082342499266,-11.3676215829132,6.0616851028476e-30,2.46305589004353e-29
"pgaptmp_000167",95073.710119389,-1.11812747654996,0.0850041106763439,-13.1538047707748,1.61822177490001e-39,8.17234931638782e-39
"map",104941.129545401,-0.817874011620218,0.0862359780535347,-9.48413910389568,2.4439200801785e-21,7.8213848137785e-21
"pgaptmp_000169",27146.9719472545,-0.778060625189335,0.0963480088310853,-8.07552366290631,6.71876761790915e-16,1.82401554149218e-15
"infA",18802.8588506316,-0.74872747921941,0.0975800135575076,-7.67295936865347,1.68072741778623e-14,4.37459262167858e-14
"rpmJ",15419.1711189531,-0.253556626585135,0.139738841027329,-1.81450357481887,0.0696002328748885,0.089761630894087
"rpsM",65185.5104693937,-0.341499915317263,0.0715344184116418,-4.77392453730617,1.80670103143785e-06,3.29311520029954e-06
"rpsK",114720.547245983,-0.739439213619413,0.0815833802019379,-9.06360108871596,1.26213342808227e-19,3.83482499536508e-19
"pgaptmp_000174",221437.50558109,-0.572892589911743,0.0779280370673037,-7.35155935490786,1.95907735043023e-13,4.89374892503444e-13
"rplQ",64314.6168218851,-0.431270543966959,0.0922412382612567,-4.67546351389454,2.93290420810663e-06,5.2991599332878e-06
"pgaptmp_000176",2517.23026193466,-1.5161086468283,0.152908880519573,-9.91511180826566,3.57855560205961e-23,1.21527225829068e-22
"pgaptmp_000177",2937.57094810338,-1.40501236568558,0.102458732169834,-13.7129587291462,8.49229138881875e-43,4.4962032075652e-42
"pgaptmp_000178",4065.92657092315,-1.45149111461241,0.0915714297356164,-15.8509168067282,1.38544789643729e-56,9.27452710528703e-56
"truA",9400.24936883697,-1.68879851042942,0.119767613186257,-14.1006275862163,3.76407296754762e-45,2.08170573331534e-44
"rplM",45987.1583919954,-1.11066876969673,0.0882425547868885,-12.5865436736172,2.50399446344739e-36,1.16644147596385e-35
"rpsI",65356.9544909023,-0.563024539656454,0.0899352739175516,-6.26033051472783,3.84162388267572e-10,8.41584702255388e-10
"pgaptmp_000182",879.164070918688,1.27335710011278,0.170100921911778,7.48589182116953,7.10629127980485e-14,1.80790267555937e-13
"pgaptmp_000183",697.483907542496,-0.458156719965898,0.186767884622793,-2.45308084358945,0.0141638502381607,0.0196488447955401
"pgaptmp_000184",54.5352381454694,-0.428524598352723,0.522375530677001,-0.820338191946613,0.412023339903529,0.467261081999066
"cwlD",69.3241695573187,-1.0540752017736,0.425555447306343,-2.47693974650219,0.0132514270723205,0.0184587618125661
"pgaptmp_000186",38194.3671016021,-1.1124770825641,0.0735264074462053,-15.1303065280054,1.0221817085195e-51,6.38349046830464e-51
"gerD",10.3230693435638,-1.02422472727353,1.29885881790108,-0.788557396044517,0.430370739907746,0.485112021180082
"kbaA",2464.90457772946,1.25313417138813,0.115371602836813,10.8617210871259,1.75411628403369e-27,6.68251874019794e-27
"pdaB",65.5276603665938,-2.35551920484563,0.497835318094854,-4.73152289367471,2.22841679523545e-06,4.04988638274724e-06
"pgaptmp_000201",2556.76295606964,1.26506732705404,0.109685794212628,11.5335567029007,8.93735304533653e-31,3.68789667790937e-30
"pgaptmp_000202",1744.27268727155,0.552244376860705,0.122618169182822,4.50377281394015,6.67575721550893e-06,1.17591899461071e-05
"pgaptmp_000203",845.815855135208,1.35235198539489,0.163698647617876,8.26122881938344,1.44180392411114e-16,3.99880343184922e-16
"pgaptmp_000204",1345.63758520641,1.71342552884041,0.16620116341241,10.3093473815748,6.39339909195856e-25,2.25129909368683e-24
"pgaptmp_000205",243.639014186746,-1.09637633384811,0.287200898104514,-3.81745440590206,0.000134835694918168,0.000220694132139587
"pgaptmp_000206",976.527081322536,0.306095545904005,0.146923850714336,2.08336185320345,0.0372182526417072,0.0496332269195393
"pgaptmp_000207",2057.57038582527,-0.00763602509240887,0.153349487102383,-0.0497949177183142,0.960285816734068,0.966915637106013
"feuC",3476.31256887523,-0.637977822926159,0.0983076013678899,-6.48960827086705,8.60598417870006e-11,1.93310036892707e-10
"pgaptmp_000209",3415.87326482342,-1.75483026429846,0.113194196244897,-15.5028289657348,3.31948544155019e-54,2.14871735886084e-53
"pgaptmp_000210",9583.55787084132,-0.572980148659064,0.0919240186356424,-6.2331929909437,4.57022556187351e-10,9.98261710169789e-10
"pgaptmp_000211",4098.31288444336,-0.119074820149472,0.107783295442707,-1.10476136084341,0.269263007290818,0.318461046436742
"pgaptmp_000212",1098.65644594075,4.95155309763333,0.178045262773148,27.8106421957557,3.22540085921417e-170,6.78245310621193e-169
"pgaptmp_000213",2042.91068198414,3.13159601479733,0.152830572526023,20.490638509282,2.60948587657028e-93,2.77500183788416e-92
"pbp4b",1643.63714143077,2.33959312999415,0.130528854852231,17.923953539949,7.66798048176471e-72,6.28639280905909e-71
"pgaptmp_000215",1550.26268471837,2.26778661349093,0.158112268966009,14.342888305388,1.18038766607071e-46,6.7074853330003e-46
"murQ",3508.02037866588,1.79418653810936,0.102754985165419,17.4608223165135,2.84801948382328e-68,2.231648109219e-67
"pgaptmp_000217",360.538363093206,1.11139834578629,0.209096035872476,5.31525306612752,1.06509197665739e-07,2.0766224919428e-07
"pgaptmp_000218",351.842660206912,0.0203858389067302,0.198278150331618,0.102814348795544,0.918110316926194,0.933175245451167
"sigW",185989.548795313,-0.170594152517175,0.107546340657839,-1.58623855980301,0.112685203753312,0.141359733188348
"rsiW",134210.982640948,-0.0720475092064594,0.102222109175924,-0.704813369507624,0.480926387342724,0.535930543020844
"cdaA",11433.4276272712,-1.88007953526786,0.0859302519000345,-21.8791344572691,4.1056110211167e-106,4.9938183727439e-105
"pgaptmp_000227",28243.1132218531,-0.666591220625949,0.0888639822147905,-7.50125308378316,6.32106099525438e-14,1.61033463547822e-13
"glmM",16380.6724801922,0.857769910545313,0.0967513149540552,8.86571837243397,7.60123818565947e-19,2.25972911557704e-18
"glmS",98671.7592023687,-0.853694397816646,0.0970779920209055,-8.79390251121804,1.44452924742408e-18,4.24687034669229e-18
"pgaptmp_000230",154.618450101361,0.746768924107214,0.293394121901874,2.54527568332461,0.0109191494006123,0.0153710567583507
"pgaptmp_000231",243.569164952135,1.71769998161186,0.266711942569147,6.44028147021026,1.1925214107107e-10,2.66420449619762e-10
"pgaptmp_000232",1557.01796848858,2.46697391061139,0.128750777439334,19.1608467123533,7.85844283503216e-82,7.36753758992184e-81
"pgaptmp_000233",14005.2818810059,0.606099072858579,0.114330792100737,5.30127590058631,1.14996145831808e-07,2.23974701614855e-07
"pgaptmp_000234",4686.42327741649,1.75962075164312,0.0918959135306578,19.147976052886,1.00622088564251e-81,9.40993501598346e-81
"pgaptmp_000235",670.164467417159,-4.44760233371501,0.240909848307081,-18.4616874941774,4.20011852524514e-76,3.67831556493233e-75
"pgaptmp_000236",297.516753823713,-5.58064233150783,0.367237981941667,-15.1962558502303,3.74418511075369e-52,2.35801302575723e-51
"pgaptmp_000237",281.435427296942,-2.64177895366252,0.280713098981057,-9.41095717745896,4.91639087491693e-21,1.55074634207126e-20
"pgaptmp_000238",4161.5274344918,-1.58067149551667,0.13536772193901,-11.6768715087695,1.67341770728136e-31,7.02986535722486e-31
"pgaptmp_000239",826.759745151297,-0.539287843693438,0.153376586861818,-3.51610278157578,0.000437931414967995,0.000693313792646056
"pgaptmp_000240",3129.12223175001,-1.75530949150051,0.106647832913889,-16.4589325778219,7.23653275770308e-61,5.17968748541747e-60
"pgaptmp_000241",1715.15150478834,-1.64940280455113,0.139112087142505,-11.8566462370844,1.98778696573943e-32,8.56312857231731e-32
"pgaptmp_000242",400.62586885705,-1.16347552495741,0.212938339968898,-5.463908120667,4.65764674954785e-08,9.2953143173282e-08
"pgaptmp_000243",103.787681560269,-0.717987408293376,0.356747735675314,-2.01259135375938,0.0441576373176353,0.0584060860327784
"pgaptmp_000244",54.4434796561483,-0.446414217724298,0.520208205501046,-0.858145282991697,0.390812245435179,0.445241254211734
"pgaptmp_000245",12.6812957827893,-0.938359838917609,1.02455889880247,-0.915867150257915,0.359736578173127,0.414019648719968
